epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2835.6,1.34387,0.94833,0.90954,0.43984,0.32632,0.32971,0.1919,1.34834,0.97959,0.90997,0.003268,0.003268,0.003268
70,2877.42,1.34492,0.947,0.90932,0.43093,0.32973,0.32946,0.19157,1.34708,0.98061,0.90981,0.003169,0.003169,0.003169
71,2917.99,1.3502,0.9488,0.90915,0.43129,0.33015,0.32889,0.19028,1.34546,0.97795,0.90875,0.00307,0.00307,0.00307
72,2958.89,1.35193,0.95012,0.90906,0.44039,0.32851,0.33065,0.19084,1.34511,0.97677,0.90891,0.002971,0.002971,0.002971
73,2999.95,1.34897,0.94432,0.90928,0.43257,0.33085,0.32927,0.19038,1.3449,0.97737,0.90921,0.002872,0.002872,0.002872
74,3041.74,1.35614,0.95,0.90752,0.43284,0.33086,0.33047,0.19112,1.34275,0.9744,0.90898,0.002773,0.002773,0.002773
75,3082.44,1.33334,0.9342,0.90681,0.43365,0.32922,0.32977,0.1908,1.34466,0.97853,0.90915,0.002674,0.002674,0.002674
76,3123.41,1.33549,0.93238,0.90816,0.43384,0.33009,0.33108,0.19182,1.34096,0.97544,0.90803,0.002575,0.002575,0.002575
77,3163.46,1.34024,0.93857,0.9057,0.42752,0.33221,0.32934,0.19138,1.34297,0.97494,0.90904,0.002476,0.002476,0.002476
78,3203.95,1.34151,0.93877,0.90627,0.43984,0.33034,0.33018,0.19104,1.3426,0.97499,0.909,0.002377,0.002377,0.002377
79,3244.15,1.33006,0.92981,0.90574,0.4355,0.33489,0.33245,0.19291,1.34047,0.97464,0.90737,0.002278,0.002278,0.002278
80,3284.95,1.3351,0.93209,0.90613,0.4332,0.33453,0.33149,0.19138,1.34007,0.9731,0.90761,0.002179,0.002179,0.002179
81,3326.27,1.33145,0.92574,0.90545,0.4447,0.33149,0.33156,0.19206,1.33994,0.97316,0.90701,0.00208,0.00208,0.00208
82,3367.34,1.33373,0.92556,0.90424,0.4419,0.33199,0.33379,0.19328,1.34084,0.9704,0.90826,0.001981,0.001981,0.001981
83,3408.67,1.3256,0.92257,0.90386,0.43513,0.3331,0.33279,0.19301,1.34305,0.96919,0.90878,0.001882,0.001882,0.001882
84,3449.07,1.32536,0.92076,0.90385,0.43551,0.33191,0.33226,0.19281,1.34317,0.96953,0.9086,0.001783,0.001783,0.001783
85,3490.75,1.32622,0.92063,0.90371,0.43527,0.32946,0.33235,0.19304,1.34204,0.9695,0.90816,0.001684,0.001684,0.001684
86,3531.58,1.32415,0.91648,0.90348,0.44511,0.32701,0.33272,0.19419,1.34055,0.96954,0.90805,0.001585,0.001585,0.001585
87,3572.97,1.32004,0.91321,0.90158,0.4334,0.32941,0.3318,0.19326,1.33831,0.96783,0.90722,0.001486,0.001486,0.001486
88,3613.92,1.31216,0.90438,0.90053,0.43934,0.33079,0.33275,0.19345,1.33751,0.96812,0.90679,0.001387,0.001387,0.001387
89,3655.91,1.31818,0.90943,0.90181,0.43503,0.33317,0.33378,0.1934,1.34071,0.9691,0.90787,0.001288,0.001288,0.001288
90,3697.92,1.31795,0.91285,0.90238,0.43324,0.33315,0.33366,0.19387,1.33922,0.96838,0.9077,0.001189,0.001189,0.001189
91,3757.28,1.29399,0.89229,0.90395,0.42901,0.33481,0.33256,0.19326,1.3423,0.97121,0.90846,0.00109,0.00109,0.00109
92,3795.38,1.28462,0.87394,0.89986,0.43006,0.3355,0.33256,0.19289,1.34295,0.97196,0.90867,0.000991,0.000991,0.000991
93,3834.02,1.28032,0.87293,0.89941,0.42963,0.33632,0.33259,0.19313,1.34408,0.9723,0.90909,0.000892,0.000892,0.000892
94,3872.13,1.27608,0.86805,0.90041,0.43035,0.33689,0.33227,0.19314,1.34265,0.97122,0.90856,0.000793,0.000793,0.000793
95,3911.05,1.27076,0.86215,0.89786,0.42482,0.33763,0.33164,0.19274,1.34304,0.97057,0.90871,0.000694,0.000694,0.000694
96,3949.5,1.26793,0.85694,0.89707,0.42991,0.33767,0.3314,0.19242,1.34279,0.97118,0.9082,0.000595,0.000595,0.000595
97,3988.29,1.2661,0.85604,0.89742,0.42546,0.33841,0.33182,0.19301,1.34219,0.97072,0.9079,0.000496,0.000496,0.000496
98,4026.85,1.26398,0.85226,0.89544,0.4274,0.33799,0.33187,0.19298,1.34269,0.96971,0.90781,0.000397,0.000397,0.000397
99,4065.02,1.26341,0.85153,0.89627,0.42947,0.33539,0.33131,0.19291,1.34284,0.96979,0.90787,0.000298,0.000298,0.000298
100,4103.18,1.26176,0.84883,0.89609,0.42566,0.3343,0.33084,0.19315,1.34225,0.96955,0.90761,0.000199,0.000199,0.000199
